1	329
2	130
3	104
4	235
5	12
6	294
7	475
8	203
9	438
10	170
11	7
12	283
13	278
14	63
15	311
16	242
17	470
18	309
19	205
20	421
21	332
22	313
23	459
24	109
25	137
26	298
27	200
28	91
29	362
30	72
31	214
32	371
33	171
34	210
35	42
36	350
37	210
38	405
39	153
40	306
41	52
42	368
43	217
44	488
45	47
46	217
47	47
48	279
49	389
50	224
51	29
52	125
53	71
54	138
55	186
56	168
57	38
58	222
59	363
60	182
61	6
62	408
63	350
64	156
65	119
66	393
67	218
68	299
69	78
70	275
71	296
72	156
73	206
74	292
75	96
76	299
77	455
78	101
79	485
80	227
81	12
82	82
83	198
84	24
85	397
86	17
87	431
88	215
89	395
90	172
91	70
92	414
93	322
94	443
95	335
96	230
97	306
98	233
99	71
100	325
101	268
102	486
103	13
104	232
105	448
106	333
107	358
108	112
109	335
110	241
111	10
112	108
113	302
114	466
115	412
116	260
117	25
118	129
119	333
120	311
121	484
122	21
123	432
124	422
125	111
126	460
127	165
128	40
129	1
130	34
131	160
132	20
133	176
134	394
135	205
136	466
137	418
138	228
139	347
140	491
141	421
142	328
143	13
144	52
145	439
146	80
147	39
148	419
149	88
150	43
151	121
152	130
153	163
154	264
155	359
156	78
157	96
158	51
159	161
160	203
161	16
162	14
163	353
164	139
165	98
166	224
167	280
168	450
169	47
170	67
171	344
172	61
173	448
174	315
175	304
176	396
177	452
178	161
179	335
180	334
181	30
182	472
183	364
184	20
185	45
186	101
187	283
188	185
189	99
190	411
191	481
192	139
193	150
194	129
195	437
196	140
197	235
198	299
199	337
200	99
201	222
202	228
203	86
204	328
205	33
206	230
207	145
208	68
209	57
210	418
211	406
212	304
213	467
214	455
215	309
216	85
217	211
218	18
219	272
220	237
221	201
222	301
223	461
224	70
225	495
226	404
227	64
228	90
229	277
230	146
231	394
232	172
233	250
234	382
235	160
236	218
237	207
238	315
239	202
240	179
241	44
242	304
243	356
244	91
245	494
246	425
247	24
248	436
249	83
250	372
251	203
252	258
253	227
254	294
255	179
256	36
257	148
258	39
259	495
260	244
261	254
262	10
263	149
264	361
265	207
266	219
267	150
268	356
269	16
270	468
271	219
272	488
273	307
274	8
275	241
276	229
277	31
278	152
279	199
280	424
281	44
282	304
283	232
284	492
285	408
286	160
287	245
288	409
289	340
290	273
291	52
292	71
293	256
294	393
295	37
296	349
297	499
298	147
299	118
300	108
301	450
302	448
303	70
304	467
305	401
306	42
307	14
308	324
309	125
310	62
311	270
312	86
313	460
314	453
315	444
316	39
317	374
318	86
319	158
320	179
321	89
322	228
323	111
324	260
325	30
326	248
327	450
328	230
329	365
330	103
331	47
332	200
333	279
334	83
335	140
336	133
337	392
338	55
339	187
340	454
341	489
342	383
343	436
344	116
345	315
346	466
347	137
348	18
349	106
350	115
351	137
352	223
353	265
354	459
355	62
356	375
357	211
358	371
359	125
360	467
361	183
362	130
363	479
364	120
365	313
366	493
367	373
368	435
369	306
370	430
371	199
372	376
373	155
374	35
375	193
376	285
377	21
378	486
379	438
380	348
381	175
382	423
383	292
384	141
385	225
386	340
387	399
388	25
389	174
390	479
391	22
392	242
393	287
394	445
395	231
396	185
397	196
398	337
399	330
400	499
401	6
402	473
403	207
404	255
405	480
406	385
407	177
408	41
409	57
410	455
411	185
412	423
413	141
414	224
415	149
416	137
417	137
418	29
419	56
420	310
421	267
422	372
423	170
424	209
425	83
426	219
427	351
428	326
429	303
430	110
431	455
432	86
433	429
434	212
435	460
436	339
437	214
438	30
439	307
440	287
441	169
442	153
443	10
444	182
445	430
446	333
447	286
448	289
449	436
450	246
451	367
452	361
453	368
454	38
455	216
456	245
457	240
458	389
459	457
460	456
461	14
462	65
463	110
464	242
465	474
466	262
467	289
468	250
469	15
470	264
471	141
472	145
473	289
474	197
475	90
476	450
477	114
478	227
479	86
480	44
481	415
482	314
483	242
484	447
485	181
486	104
487	391
488	290
489	23
490	438
491	72
492	277
493	253
494	272
495	91
496	429
497	115
498	385
499	426
500	200
501	491
502	492
503	97
504	486
505	114
506	90
507	453
508	49
509	105
510	228
511	450
512	74
513	33
514	417
515	433
516	277
517	274
518	454
519	22
520	469
521	389
522	333
523	439
524	315
525	474
526	328
527	301
528	157
529	319
530	394
531	220
532	118
533	367
534	381
535	26
536	302
537	349
538	143
539	77
540	424
541	173
542	224
543	216
544	265
545	21
546	483
547	265
548	274
549	10
550	291
551	273
552	353
553	168
554	390
555	92
556	20
557	75
558	245
559	466
560	102
561	290
562	12
563	198
564	449
565	294
566	40
567	68
568	391
569	55
570	248
571	148
572	440
573	430
574	458
575	84
576	425
577	314
578	203
579	317
580	333
581	174
582	322
583	388
584	88
585	312
586	135
587	264
588	425
589	163
590	129
591	81
592	123
593	489
594	413
595	500
596	438
597	178
598	360
599	283
600	36
601	71
602	470
603	226
604	216
605	384
606	89
607	315
608	361
609	488
610	340
611	483
612	123
613	80
614	90
615	433
616	358
617	96
618	342
619	419
620	134
621	118
622	252
623	189
624	407
625	168
626	78
627	239
628	115
629	140
630	114
631	293
632	219
633	8
634	194
635	193
636	21
637	308
638	240
639	393
640	399
641	496
642	165
643	421
644	311
645	76
646	230
647	363
648	168
649	453
650	334
651	337
652	439
653	13
654	255
655	153
656	163
657	378
658	231
659	441
660	44
661	415
662	244
663	226
664	43
665	364
666	304
667	129
668	159
669	58
670	414
671	276
672	251
673	143
674	189
675	473
676	249
677	497
678	450
679	439
680	420
681	54
682	428
683	150
684	210
685	4
686	177
687	431
688	112
689	475
690	112
691	8
692	118
693	376
694	228
695	162
696	424
697	317
698	70
699	77
700	373
701	74
702	373
703	435
704	80
705	9
706	129
707	494
708	448
709	443
710	289
711	79
712	144
713	475
714	212
715	283
716	168
717	98
718	260
719	268
720	254
721	192
722	87
723	10
724	337
725	310
726	366
727	197
728	234
729	413
730	2
731	153
732	489
733	17
734	72
735	352
736	226
737	409
738	162
739	319
740	186
741	22
742	477
743	264
744	109
745	216
746	438
747	88
748	148
749	49
750	442
751	24
752	10
753	218
754	59
755	138
756	66
757	70
758	392
759	141
760	480
761	117
762	443
763	216
764	220
765	5
766	270
767	124
768	87
769	35
770	477
771	149
772	158
773	300
774	59
775	406
776	441
777	291
778	64
